product,resource,score,nested_weight,non_nested_weight,tier,provenance,is_iam
accessapproval,google_project_access_approval_settings,4.30,2.00,2.30,C,Generated,false
accesscontextmanager,google_access_context_manager_service_perimeters,96.00,0.00,96.00,A,Generated,false
activedirectory,google_active_directory_domain,9.50,4.00,5.50,B,Generated,false
alloydb,google_alloydb_cluster,52.75,44.00,8.75,A,Generated,false
apigateway,google_api_gateway_gateway,9.70,4.00,5.70,B,Generated,false
apigee,google_apigee_developer_app,16.00,14.00,2.00,B,Generated,false
apihub,google_apihub_plugin_instance,18.25,16.00,2.25,A,Generated,false
appengine,google_app_engine_application,10.50,6.00,4.50,B,Handwritten,false
apphub,google_apphub_workload,7.45,4.00,3.45,C,Generated,false
artifactregistry,google_artifact_registry_repository,21.70,6.00,15.70,A,Generated,false
backupdr,google_backup_dr_backup_vault,12.75,6.00,6.75,B,Generated,false
beyondcorp,google_beyondcorp_security_gateway,15.25,12.00,3.25,B,Generated,false
biglake,google_biglake_catalog,2.25,0.00,2.25,C,Generated,false
bigquery,google_bigquery_job,44.10,18.00,26.10,A,Generated,false
bigqueryanalyticshub,google_bigquery_analytics_hub_listing,21.05,6.00,15.05,A,Generated,false
bigqueryconnection,google_bigquery_connection,2.25,0.00,2.25,C,Generated,false
bigquerydatapolicy,google_bigquery_datapolicy_data_policy,5.45,0.00,5.45,C,Generated,false
bigquerydatapolicyv2,google_bigquery_datapolicyv2_data_policy,6.25,2.00,4.25,C,Generated,false
bigquerydatatransfer,google_bigquery_data_transfer_config,6.75,0.00,6.75,C,Generated,false
bigqueryreservation,google_bigquery_reservation,8.25,6.00,2.25,C,Generated,false
bigtable,google_bigtable_instance,15.00,6.00,9.00,B,Handwritten,false
billing,google_billing_budget,16.00,10.00,6.00,B,Generated,false
binaryauthorization,google_binary_authorization_policy,11.25,0.00,11.25,B,Generated,false
blockchainnodeengine,google_blockchain_node_engine_blockchain_nodes,18.50,14.00,4.50,A,Generated,false
certificatemanager,google_certificate_manager_certificate,23.50,14.00,9.50,A,Generated,false
ces,google_ces_app,24.25,4.00,20.25,A,Generated,false
chronicle,google_chronicle_rule,15.25,12.00,3.25,B,Generated,false
cloudasset,google_cloud_asset_project_feed,2.25,0.00,2.25,C,Generated,false
cloudbuild,google_cloudbuild_trigger,14.50,10.00,4.50,B,Generated,false
cloudbuildv2,google_cloudbuildv2_connection,55.10,4.00,51.10,A,Generated,false
clouddeploy,google_clouddeploy_deploy_policy,24.75,18.00,6.75,A,Generated,false
clouddomains,google_clouddomains_registration,14.50,10.00,4.50,B,Generated,false
cloudfunctions,google_cloudfunctions_function,22.15,12.00,10.15,A,Handwritten,false
cloudfunctions2,google_cloudfunctions2_function,28.70,22.00,6.70,A,Generated,false
cloudidentity,google_cloud_identity_group_membership,5.20,4.00,1.20,C,Generated,false
cloudids,google_cloud_ids_endpoint,2.25,0.00,2.25,C,Generated,false
